,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
392,70.0,1928.0,11.2,0.477,0.188,0.242,1.6,9.7,5.5,24.5,1.8,1.0,16.1,23.2,-1.5,0.9,-0.6,-0.015,-2.8,-1.6,-4.4,-1.2
393,18.0,195.0,5.2,0.386,0.492,0.169,1.1,16.8,8.8,6.5,2.5,0.8,9.9,15.3,-0.3,0.1,-0.2,-0.047,-5.6,-0.5,-6.1,-0.2
394,74.0,1067.0,14.2,0.587,0.691,0.136,1.9,13.9,7.8,10.4,1.2,2.2,8.4,17.4,1.6,1.5,3.1,0.137,1.3,-0.2,1.1,0.8
395,69.0,947.0,21.4,0.609,0.022,0.209,7.7,18.5,13.5,20.4,2.3,6.0,16.4,22.0,1.7,1.7,3.5,0.175,0.0,3.4,3.4,1.3
396,2.0,6.0,31.4,0.931,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,35.8,0.1,0.0,0.1,0.464,11.9,-9.4,2.5,0.0
397,66.0,1529.0,12.8,0.561,0.121,0.532,5.4,16.2,10.6,9.4,1.8,1.7,13.1,15.0,1.4,1.4,2.8,0.087,-2.2,1.2,-1.0,0.4
398,65.0,1929.0,18.9,0.613,0.327,0.235,2.1,7.6,4.9,26.3,2.3,0.7,11.2,17.4,5.6,1.8,7.3,0.182,3.2,-1.0,2.2,2.0
399,19.0,141.0,8.4,0.559,0.489,0.064,2.4,9.6,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.012,-3.5,-1.1,-4.6,-0.1
400,78.0,1847.0,9.4,0.619,0.746,0.131,1.0,7.9,4.6,7.7,0.6,0.7,10.1,12.8,2.1,0.8,2.9,0.075,0.6,-1.7,-1.1,0.4
401,74.0,2229.0,16.1,0.587,0.447,0.239,7.5,16.7,12.3,13.0,1.1,0.7,13.4,20.9,3.7,2.8,6.5,0.14,1.7,-0.1,1.6,2.0
402,10.0,148.0,21.9,0.63,0.203,0.356,1.6,11.4,6.5,32.9,2.0,0.6,15.0,24.4,0.4,0.2,0.6,0.21,2.2,-1.1,1.1,0.1
403,70.0,1499.0,9.7,0.542,0.474,0.149,5.1,14.5,9.9,4.1,1.2,1.4,8.1,11.5,1.0,1.2,2.2,0.071,-1.5,-0.1,-1.6,0.2
404,67.0,1742.0,11.5,0.51,0.572,0.114,2.6,12.9,7.7,9.0,1.7,3.8,11.0,16.5,0.1,2.8,3.0,0.081,-1.0,2.3,1.3,1.5
405,21.0,671.0,13.9,0.545,0.434,0.34,1.5,14.8,8.3,8.9,0.9,1.2,8.1,20.6,0.8,0.4,1.3,0.091,0.0,-1.3,-1.3,0.1
406,63.0,936.0,16.2,0.616,0.249,0.348,10.7,21.2,16.1,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,0.18,-0.8,3.5,2.7,1.1
407,44.0,1124.0,15.5,0.506,0.398,0.209,2.7,14.2,8.4,35.6,1.4,1.1,16.2,30.7,-0.4,0.8,0.4,0.017,0.8,-1.0,-0.2,0.5
408,40.0,356.0,8.9,0.489,0.409,0.13,2.2,15.2,8.7,9.2,1.0,0.2,9.7,16.5,0.0,0.2,0.2,0.022,-2.7,-2.1,-4.9,-0.3
409,12.0,321.0,12.9,0.496,0.387,0.21,3.1,15.7,9.4,11.7,2.6,0.3,7.8,19.2,0.1,0.3,0.4,0.057,-1.4,-0.2,-1.5,0.0
410,19.0,152.0,4.9,0.405,0.462,0.103,3.8,8.1,6.0,7.8,0.7,0.6,10.9,13.4,-0.1,0.1,-0.1,-0.019,-4.3,-2.1,-6.4,-0.2
411,70.0,2558.0,25.1,0.594,0.444,0.383,2.6,10.9,6.8,30.9,1.5,0.9,11.1,30.4,9.5,2.6,12.1,0.227,7.6,-0.8,6.8,5.7
412,11.0,54.0,10.7,0.765,0.0,0.4,9.0,11.6,10.4,0.0,0.0,2.9,20.3,12.0,0.1,0.0,0.1,0.102,-2.6,-3.8,-6.4,-0.1
413,29.0,159.0,16.6,0.575,0.0,0.513,10.8,13.0,11.8,7.3,1.9,4.6,5.9,13.7,0.4,0.2,0.6,0.18,-0.9,1.3,0.5,0.1
414,21.0,69.0,9.1,0.638,0.357,0.143,1.7,13.6,7.7,6.2,1.4,1.2,21.2,12.4,0.0,0.0,0.1,0.038,-3.5,-1.7,-5.2,-0.1
415,71.0,1679.0,15.4,0.613,0.512,0.359,1.9,8.3,5.1,24.1,1.5,0.0,16.1,18.4,3.2,0.8,4.0,0.115,1.6,-2.4,-0.8,0.5
416,51.0,856.0,12.3,0.619,0.005,0.346,8.8,16.7,12.6,8.6,0.6,1.1,17.5,13.4,1.1,0.5,1.6,0.088,-2.3,-0.2,-2.5,-0.1
417,73.0,2226.0,12.9,0.56,0.366,0.171,1.4,9.1,5.3,11.4,1.8,0.6,9.6,16.9,2.5,1.2,3.7,0.079,0.7,-0.7,0.0,1.1
418,78.0,2108.0,11.2,0.505,0.315,0.161,2.1,11.6,6.9,15.9,1.8,0.7,11.2,14.6,1.3,1.9,3.3,0.074,-1.1,0.1,-1.0,0.6
419,69.0,1121.0,11.1,0.535,0.331,0.297,3.7,10.3,7.0,7.7,3.2,1.1,12.8,14.3,0.6,1.5,2.1,0.089,-1.8,1.0,-0.8,0.3
420,19.0,46.0,5.2,0.34,0.0,0.4,7.5,25.4,16.4,5.9,2.2,1.9,5.4,17.9,-0.1,0.1,0.0,-0.033,-7.4,-0.6,-8.0,-0.1
421,33.0,627.0,16.0,0.602,0.019,0.545,11.3,19.4,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.144,-0.7,1.2,0.5,0.4
422,71.0,1955.0,24.6,0.65,0.002,0.383,13.5,31.0,22.3,5.8,1.4,5.8,11.6,19.5,6.0,3.9,9.9,0.242,0.1,2.9,3.0,2.5
423,55.0,1753.0,24.3,0.601,0.475,0.288,2.3,17.0,9.7,40.7,2.6,0.7,12.7,24.3,7.0,2.6,9.6,0.262,6.0,1.0,7.0,4.0
424,19.0,90.0,15.8,0.478,0.19,0.333,8.9,22.6,15.7,7.1,0.0,4.8,4.0,24.6,0.1,0.1,0.2,0.081,-3.8,-1.9,-5.7,-0.1
425,48.0,538.0,17.4,0.619,0.0,0.365,8.8,29.7,19.6,4.8,0.9,2.8,11.0,17.6,1.1,0.7,1.8,0.161,-2.6,-0.5,-3.1,-0.2
426,50.0,643.0,14.2,0.626,0.544,0.078,1.9,19.8,11.0,7.5,1.3,1.8,7.8,14.9,1.0,0.5,1.6,0.118,-0.1,-0.9,-1.0,0.2
427,36.0,691.0,13.7,0.578,0.517,0.115,2.3,13.1,7.5,16.5,1.3,1.5,12.5,18.3,0.7,0.4,1.1,0.079,0.3,-1.5,-1.2,0.1
428,57.0,584.0,10.9,0.605,0.442,0.227,2.7,17.0,10.0,6.8,1.6,0.4,14.2,15.0,0.4,0.4,0.8,0.068,-1.6,-1.5,-3.1,-0.2
